grade,subject_fa,grade_fa,file,size_bytes,source_url,maktab93_page
4,"دری","صنف چهارم","Grade-04/G4-Dr-Dari.pdf",16033146,"https://drive.usercontent.google.com/download?id=1foXHEP0dSxMtG27jVRB5j-b3fZZtb6WQ&export=download","https://www.maktab93.com/download.php?id=123"
4,"قرآن‌کریم","صنف چهارم","Grade-04/G4-Dr-Quran.pdf",2686297,"https://drive.usercontent.google.com/download?id=1La4DGgdiXZlp3LRhFVbyQ2hrI2oSFwww&export=download","https://www.maktab93.com/download.php?id=124"
4,"پشتو","صنف چهارم","Grade-04/G4-Dr-Pashto.pdf",14906226,"https://drive.usercontent.google.com/download?id=1o4sCXZfehqM4ypo341i71RILS37Db-IY&export=download","https://www.maktab93.com/download.php?id=125"
4,"ساینس","صنف چهارم","Grade-04/G4-Dr-Sicence.pdf",12845083,"https://drive.usercontent.google.com/download?id=1k9ozWWjVHqW7iRmd9NLJ-ZOTpMk4pV04&export=download","https://www.maktab93.com/download.php?id=126"
4,"انګلیسی","صنف چهارم","Grade-04/G4-Ps-English.pdf",28811673,"https://drive.usercontent.google.com/download?id=1ASpFz6Pg_su0ZuaJeA3Gz_xTCLkYUKS6&export=download","https://www.maktab93.com/download.php?id=127"
3,"علوم دینی ح","صنف سوم","Grade-03/G3-Dr-Islamic_Study_Hanafi.pdf",11039689,"https://drive.usercontent.google.com/download?id=1oISAKbmjbY-ucMFh6eTMfzhtH6cdfy1Y&export=download","https://www.maktab93.com/download.php?id=109"
3,"علوم دینی ج","صنف سوم","Grade-03/G3-Dr-Islamic_Study_Jafari.pdf",3371284,"https://drive.usercontent.google.com/download?id=1Dt4kZqWpAzGd17UkxTyoqFHEnaWqIUgZ&export=download","https://www.maktab93.com/download.php?id=110"
3,"ریاضی","صنف سوم","Grade-03/G3-Dr-Math.pdf",7400725,"https://drive.usercontent.google.com/download?id=1_ahhIOOeGjzlaoOqzM8wwUZlixzWg8Sm&export=download","https://www.maktab93.com/download.php?id=111"
3,"مهارت‌ها","صنف سوم","Grade-03/G3-Dr-Life_Skill.pdf",23022314,"https://drive.usercontent.google.com/download?id=17_COCkKy8huSquq3dm28mp4Dgmn687Mx&export=download","https://www.maktab93.com/download.php?id=112"
3,"هنررسامی","صنف سوم","Grade-03/G3-Dr-Art.pdf",17882572,"https://drive.usercontent.google.com/download?id=1kE8NpeIasAtXsDZI6qcoEAYcKnQSPkXv&export=download","https://www.maktab93.com/download.php?id=113"
3,"حسن‌خط","صنف سوم","Grade-03/G3-Dr-Hand_Writing.pdf",7114769,"https://drive.usercontent.google.com/download?id=1MEeoOCWCljnBytR_TN_2MkL7qFr0zr3M&export=download","https://www.maktab93.com/download.php?id=114"
3,"دری","صنف سوم","Grade-03/G3-Dr-Dari.pdf",23234933,"https://drive.usercontent.google.com/download?id=1bm5Xc-azwnImH2qB3I0j5BZUw_D32mCj&export=download","https://www.maktab93.com/download.php?id=115"
3,"قرآن‌کریم","صنف سوم","Grade-03/G3-Dr-Quran.pdf",8355671,"https://drive.usercontent.google.com/download?id=1uhj3BdWTJtc8pdoEYTV2-_knLviABWTw&export=download","https://www.maktab93.com/download.php?id=116"
2,"علوم دینی ح","صنف دوم","Grade-02/G2-Dr-Islamic_Study_Hanafi.pdf",12442397,"https://drive.usercontent.google.com/download?id=17UgkiHVyV6WAQoP1KqzMEVHi7yScXPQ8&export=download","https://www.maktab93.com/download.php?id=101"
2,"علوم دینی ج","صنف دوم","Grade-02/G2-Dr-Islamic_Study_Jafari.pdf",6479182,"https://drive.usercontent.google.com/download?id=1ZaPvlNyHcm3maoPGy8nHMqsXky_IAzYQ&export=download","https://www.maktab93.com/download.php?id=102"
